permno,ticker,comnam,rtype,ptype,psub,date,caldt,ym,usdret,usdprc,market_equity,assets,sales,net_income,book_equity,debt_at,cash_at,ocf_at,roe,btm,beta,year,month
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-07-29,2005-07-29,2005m7,0.0454,15.42,344.49823,551.168,56.396,7.007,175.358,0.48510253,0.023032906,0.035029247,0.032213961266412,0.5090244074985748,-0.5192324665230797,2005,7
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-08-31,2005-08-31,2005m8,-0.0334,14.68,328.06863,551.168,56.396,7.007,175.358,0.48510253,0.023032906,0.035029247,0.032213961266412,0.5345161703045509,-0.5027513633255966,2005,8
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-09-30,2005-09-30,2005m9,-0.0143,14.47,323.37558,551.168,56.396,7.007,175.358,0.48510253,0.023032906,0.035029247,0.032213961266412,0.5422735111871182,-0.5084057177228747,2005,9
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-10-31,2005-10-31,2005m10,-0.0311,14.02,313.31897,655.057,60.803,8.524,211.392,0.44044563,0.02072186,0.030317971,0.032213961266412,0.6746862441831695,-0.5551765195822356,2005,10
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-11-30,2005-11-30,2005m11,-0.0032,13.75,391.99875,655.057,60.803,8.524,211.392,0.44044563,0.02072186,0.030317971,0.032213961266412,0.5392670213642661,-0.6427641260802527,2005,11
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2005-12-30,2005-12-30,2005m12,0.0233,14.07,401.1216,655.057,60.803,8.524,211.392,0.44044563,0.02072186,0.030317971,0.032213961266412,0.5270022484851461,-0.6840046947110459,2005,12
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-01-31,2006-01-31,2006m1,0.0512,14.79,421.6481,821.868,68.909,10.921,292.492,0.450677,0.020750292,0.030152043,0.032213961266412,0.6936874818015157,-0.813016186631121,2006,1
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-02-28,2006-02-28,2006m2,0.0436,15.21,433.6219,821.868,68.909,10.921,292.492,0.450677,0.020750292,0.030152043,0.032213961266412,0.6745323522922404,-0.8221413340774482,2006,2
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-03-31,2006-03-31,2006m3,0.0414,15.84,474.77234,821.868,68.909,10.921,292.492,0.450677,0.020750292,0.030152043,0.032213961266412,0.6160679481378376,-0.8216971235124013,2006,3
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-04-28,2006-04-28,2006m4,-0.0688,14.75,441.615,996.256,79.032,13.213,302.385,0.5297745,0.019087464,0.030047499,0.032213961266412,0.6847254050827644,-0.7100698887402437,2006,4
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-05-31,2006-05-31,2006m5,0.001,14.54,443.35367,996.256,79.032,13.213,302.385,0.5297745,0.019087464,0.030047499,0.032213961266412,0.6820401370082774,-0.7721337292060055,2006,5
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-06-30,2006-06-30,2006m6,0.0124,14.72,448.84225,996.256,79.032,13.213,302.385,0.5297745,0.019087464,0.030047499,0.0436959505266464,0.6736999686763556,-0.7634504128253409,2006,6
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-07-31,2006-07-31,2006m7,0.0299,15.16,462.25873,1058.96,92.214,13.324,306.057,0.53807414,0.021641044,0.0317283,0.0436959505266464,0.6620902849176017,-0.7710936473950547,2006,7
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-08-31,2006-08-31,2006m8,0.0294,15.38,529.4257,1058.96,92.214,13.324,306.057,0.53807414,0.021641044,0.0317283,0.0436959505266464,0.5780924083045403,-0.7616112041273924,2006,8
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-09-29,2006-09-29,2006m9,0.0514,16.17,556.61993,1058.96,92.214,13.324,306.057,0.53807414,0.021641044,0.0317283,0.0436959505266464,0.5498491631660921,-0.1063036414030784,2006,9
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-10-31,2006-10-31,2006m10,0.0334,16.71,575.2083,1071.628,105.206,13.85,354.345,0.50126535,0.021876995,0.032964796,0.0436959505266464,0.616028999443055,0.093371456345949,2006,10
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-11-30,2006-11-30,2006m11,0.105,18.24,648.3226,1071.628,105.206,13.85,354.345,0.50126535,0.021876995,0.032964796,0.0436959505266464,0.5465566397293217,0.1322762504703816,2006,11
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2006-12-29,2006-12-29,2006m12,-0.1277,15.91,684.83,1071.628,105.206,13.85,354.345,0.50126535,0.021876995,0.032964796,0.0436959505266464,0.5174203362614549,0.0856291234255159,2006,12
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-01-31,2007-01-31,2007m1,0.0528,16.75,720.987,1205.764,116.382,13.834,360.748,0.5446074,0.022564946,0.030102905,0.0436959505266464,0.5003529686940871,0.0862537871621674,2007,1
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-02-28,2007-02-28,2007m2,-0.029,16.04,690.4258,1205.764,116.382,13.834,360.748,0.5446074,0.022564946,0.030102905,0.0436959505266464,0.5225007224651581,0.1034868430363293,2007,2
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-03-30,2007-03-30,2007m3,0.01,16.2,714.8574,1205.764,116.382,13.834,360.748,0.5446074,0.022564946,0.030102905,0.0436959505266464,0.504643257404514,0.1160752257034305,2007,3
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-04-30,2007-04-30,2007m4,-0.0142,15.97,696.292,1251.719,127.203,15.335,489.2,0.4538343,0.02348131,0.030299932,0.0436959505266464,0.7025788206772895,0.1240995340797157,2007,4
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-05-31,2007-05-31,2007m5,0.0128,15.95,704.7986,1251.719,127.203,15.335,489.2,0.4538343,0.02348131,0.030299932,0.0436959505266464,0.6940990493394079,0.3132247921350017,2007,5
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-06-29,2007-06-29,2007m6,-0.1003,14.35,634.09784,1251.719,127.203,15.335,489.2,0.4538343,0.02348131,0.030299932,0.031347097301717,0.7714898278521206,0.0804366808580299,2007,6
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-07-31,2007-07-31,2007m7,-0.124,12.57,555.98364,1277.767,132.644,17.465,487.271,0.4618612,0.02053113,0.033308107,0.031347097301717,0.8764123967103801,0.2495269846924749,2007,7
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-08-31,2007-08-31,2007m8,0.0712,13.24,585.6184,1277.767,132.644,17.465,487.271,0.4618612,0.02053113,0.033308107,0.031347097301717,0.8320622522984517,0.1995692674775857,2007,8
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-09-28,2007-09-28,2007m9,0.0287,13.62,602.4262,1277.767,132.644,17.465,487.271,0.4618612,0.02053113,0.033308107,0.031347097301717,0.8088476334600744,0.2143097138893742,2007,9
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-10-31,2007-10-31,2007m10,-0.0565,12.85,568.36835,1379.735,139.908,18.424,481.142,0.50788885,0.022124538,0.03557205,0.031347097301717,0.8465319666862458,0.2838920547524406,2007,10
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-11-30,2007-11-30,2007m11,-0.072,11.7,517.5027,1379.735,139.908,18.424,481.142,0.50788885,0.022124538,0.03557205,0.031347097301717,0.9297381635163308,0.2745721681394361,2007,11
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2007-12-31,2007-12-31,2007m12,-0.1256,10.23,452.48312,1379.735,139.908,18.424,481.142,0.50788885,0.022124538,0.03557205,0.031347097301717,1.063336888621019,0.3954957136589717,2007,12
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-01-31,2008-01-31,2008m1,0.086,11.11,491.4064,1502.637,146.239,20.729,475.472,0.548326,0.022596275,0.03448138,0.031347097301717,0.9675738428810112,0.3547777671991807,2008,1
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-02-29,2008-02-29,2008m2,0.0662,11.62,513.96423,1502.637,146.239,20.729,475.472,0.548326,0.022596275,0.03448138,0.031347097301717,0.9251071718054809,0.3403731493165279,2008,2
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-03-31,2008-03-31,2008m3,0.0052,11.68,519.3279,1502.637,146.239,20.729,475.472,0.548326,0.022596275,0.03448138,0.031347097301717,0.9155526524135144,0.3309827811829854,2008,3
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-04-30,2008-04-30,2008m4,0.0702,12.5,555.7625,1594.984,154.344,21.082,469.404,0.5338699,0.023916228,0.032291234,0.031347097301717,0.8446125668774319,0.3327953948534669,2008,4
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-05-30,2008-05-30,2008m5,-0.006,12.2,542.4242,1594.984,154.344,21.082,469.404,0.5338699,0.023916228,0.032291234,0.031347097301717,0.8653817483004825,0.3656510944597373,2008,5
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-06-30,2008-06-30,2008m6,-0.0393,11.72,521.08295,1594.984,154.344,21.082,469.404,0.5338699,0.023916228,0.032291234,0.0468019019863486,0.9008239531911726,0.382511193707107,2008,6
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-07-31,2008-07-31,2008m7,0.0887,12.76,567.6669,1629.418,163.089,21.394,462.867,0.55460966,0.020624543,0.032901317,0.0468019019863486,0.8153849110792861,0.2880734026691676,2008,7
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-08-29,2008-08-29,2008m8,0.0443,13.1,582.79285,1629.418,163.089,21.394,462.867,0.55460966,0.020624543,0.032901317,0.0468019019863486,0.7942222252346862,0.0926712199487826,2008,8
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-09-30,2008-09-30,2008m9,0.0092,13.22,588.13135,1629.418,163.089,21.394,462.867,0.55460966,0.020624543,0.032901317,0.0468019019863486,0.7870129431447714,0.0873624337362829,2008,9
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-10-31,2008-10-31,2008m10,-0.2769,9.56,425.31485,1654.619,168.682,19.626,455.985,0.564872,0.016143294,0.033214897,0.0468019019863486,1.0721116180134658,0.7982021291617692,2008,10
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-11-28,2008-11-28,2008m11,-0.4848,4.7,209.0983,1654.619,168.682,19.626,455.985,0.564872,0.016143294,0.033214897,0.0468019019863486,2.180720704624556,1.1357867993045376,2008,11
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2008-12-31,2008-12-31,2008m12,0.5064,7.08,314.98212,1654.619,168.682,19.626,455.985,0.564872,0.016143294,0.033214897,0.0468019019863486,1.4476535306616607,1.278259494266066,2008,12
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-01-30,2009-01-30,2009m1,-0.1342,6.13,272.7176,1668.403,171.771,18.562,448.988,0.57393265,0.014364036,0.032305144,0.0468019019863486,1.6463479743509253,1.3063755666949284,2009,1
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-02-27,2009-02-27,2009m2,-0.2084,4.74,210.87785,1668.403,171.771,18.562,448.988,0.57393265,0.014364036,0.032305144,0.0468019019863486,2.129137886186016,1.3521989890877906,2009,2
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-03-31,2009-03-31,2009m3,-0.6329,1.74,78.0477,1668.403,171.771,18.562,448.988,0.57393265,0.014364036,0.032305144,0.0468019019863486,5.752738245435911,0.8097101271974252,2009,3
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-04-30,2009-04-30,2009m4,1.0632,3.59,161.77258,1727.128,175.72,18.375,435.277,0.5867967,0.012873974,0.034374986,0.0468019019863486,2.6906723819878384,1.6732419046833356,2009,4
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-05-29,2009-05-29,2009m5,0.4373,5.16,232.51991,1727.128,175.72,18.375,435.277,0.5867967,0.012873974,0.034374986,0.0468019019863486,1.8719988975147823,1.799505313862916,2009,5
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-06-30,2009-06-30,2009m6,-0.124,4.52,203.68024,1727.128,175.72,18.375,435.277,0.5867967,0.012873974,0.034374986,0.0422144978944442,2.1370606202358173,1.7818178873741806,2009,6
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-07-31,2009-07-31,2009m7,0.1748,5.31,239.27922,1817.817,172.075,17.7,435.599,0.6025381,0.0155153135,0.030932156,0.0422144978944442,1.820463144304772,1.8273077754114588,2009,7
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-08-31,2009-08-31,2009m8,0.2109,6.43,289.7615,1817.817,172.075,17.7,435.599,0.6025381,0.0155153135,0.030932156,0.0422144978944442,1.503301850050602,1.856813658516096,2009,8
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-09-30,2009-09-30,2009m9,0.0031,6.45,290.66278,1817.817,172.075,17.7,435.599,0.6025381,0.0155153135,0.030932156,0.0422144978944442,1.4986404424573003,1.824485749103554,2009,9
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-10-30,2009-10-30,2009m10,-0.0589,6.07,273.65988,1827.682,173.002,15.904,438.866,0.60926133,0.017155062,0.030655224,0.0422144978944442,1.6036914338079455,1.8232366536487448,2009,10
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-11-30,2009-11-30,2009m11,-0.0049,6.04,313.4941,1827.682,173.002,15.904,438.866,0.60926133,0.017155062,0.030655224,0.0422144978944442,1.3999177729868244,1.8606738362890607,2009,11
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2009-12-31,2009-12-31,2009m12,0.1407,6.8,352.9404,1827.682,173.002,15.904,438.866,0.60926133,0.017155062,0.030655224,0.0422144978944442,1.2434563728182535,1.880189166387525,2009,12
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-01-29,2010-01-29,2010m1,0.0265,6.98,362.28293,1835.149,167.827,14.342,440.096,0.60973525,0.012876338,0.029615033,0.0422144978944442,1.2147853590283455,1.8798219470199864,2010,1
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-02-26,2010-02-26,2010m2,-0.0559,6.59,400.0855,1835.149,167.827,14.342,440.096,0.60973525,0.012876338,0.029615033,0.0422144978944442,1.1000048947057095,1.8608914501567333,2010,2
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-03-31,2010-03-31,2010m3,0.2003,7.91,490.47537,1835.149,167.827,14.342,440.096,0.60973525,0.012876338,0.029615033,0.0422144978944442,0.8972846155646066,1.8885396964638053,2010,3
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-04-30,2010-04-30,2010m4,0.0063,7.96,502.02127,1785.118,181.276,-14.595,449.706,0.52992237,0.017499683,0.029097237,0.0422144978944442,0.8957906975126531,1.8755614832550944,2010,4
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-05-28,2010-05-28,2010m5,-0.1256,6.87,444.86685,1785.118,181.276,-14.595,449.706,0.52992237,0.017499683,0.029097237,0.0422144978944442,1.0108777489709242,1.8849390176332697,2010,5
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-06-30,2010-06-30,2010m6,-0.1237,6.02,368.56247,1785.118,181.276,-14.595,449.706,0.52992237,0.017499683,0.029097237,-0.0375156213170382,1.2201622023982486,1.8876920993118245,2010,6
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-07-30,2010-07-30,2010m7,0.0299,6.2,403.64478,1703.96,165.925,-21.564,512.495,0.5258169,0.016927628,0.027323999,-0.0375156213170382,1.2696683296476308,1.8817390144041697,2010,7
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-08-31,2010-08-31,2010m8,-0.0952,5.52,362.81857,1703.96,165.925,-21.564,512.495,0.5258169,0.016927628,0.027323999,-0.0375156213170382,1.4125379682501429,1.8828217828158345,2010,8
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-09-30,2010-09-30,2010m9,0.1014,6.08,399.62622,1703.96,165.925,-21.564,512.495,0.5258169,0.016927628,0.027323999,-0.0375156213170382,1.282435763709685,1.850832015400639,2010,9
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-10-29,2010-10-29,2010m10,0.0378,6.31,416.68085,1635.752,148.181,-23.636,518.989,0.5233715,0.016275084,0.026708204,-0.0375156213170382,1.2455312534621374,1.8496240329568896,2010,10
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-11-30,2010-11-30,2010m11,-0.0254,6.06,401.25684,1635.752,148.181,-23.636,518.989,0.5233715,0.016275084,0.026708204,-0.0375156213170382,1.2934085030349207,1.8558630862731889,2010,11
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2010-12-31,2010-12-31,2010m12,0.038,6.29,416.48605,1635.752,148.181,-23.636,518.989,0.5233715,0.016275084,0.026708204,-0.0375156213170382,1.2461137608221282,1.8317702808496887,2010,12
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-01-31,2011-01-31,2011m1,-0.0382,6.05,400.59473,1647.104,143.634,-31.781,509.593,0.49336594,0.0144247115,0.023061082,-0.0375156213170382,1.2720911263809376,1.8540189477701785,2011,1
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-02-28,2011-02-28,2011m2,0.0165,6.06,401.25684,1647.104,143.634,-31.781,509.593,0.49336594,0.0144247115,0.023061082,-0.0375156213170382,1.2699920136802585,1.8472766642214256,2011,2
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-03-31,2011-03-31,2011m3,-0.005,6.03,399.39102,1647.104,143.634,-31.781,509.593,0.49336594,0.0144247115,0.023061082,-0.0375156213170382,1.2759249638867374,1.8498617554859973,2011,3
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-04-29,2011-04-29,2011m4,-0.0216,5.9,390.7806,1622.487,157.686,-2.638,470.066,0.4975861,0.017695673,0.025702517,-0.0375156213170382,1.2028898491363222,1.846910638990063,2011,4
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-05-31,2011-05-31,2011m5,-0.0864,5.3,358.87363,1622.487,157.686,-2.638,470.066,0.4975861,0.017695673,0.025702517,-0.0375156213170382,1.309837159310563,1.871338227516508,2011,5
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-06-30,2011-06-30,2011m6,-0.0283,5.15,348.7168,1622.487,157.686,-2.638,470.066,0.4975861,0.017695673,0.025702517,-0.0875711307320818,1.347987801768188,1.8715555947715208,2011,6
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-07-29,2011-07-29,2011m7,-0.0369,4.96,335.85153,1648.647,125.27,-2.409,456.607,0.5171556,0.019153887,0.025624042,-0.0875711307320818,1.359550135136934,1.8811822876591544,2011,7
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-08-31,2011-08-31,2011m8,-0.2399,3.68,250.27312,1648.647,125.27,-2.409,456.607,0.5171556,0.019153887,0.025624042,-0.0875711307320818,1.8244347835146355,1.9126050597029471,2011,8
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-09-30,2011-09-30,2011m9,-0.1549,3.11,211.50798,1648.647,125.27,-2.409,456.607,0.5171556,0.019153887,0.025624042,-0.0875711307320818,2.158816821616434,1.8951986152796765,2011,9
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-10-31,2011-10-31,2011m10,0.1801,3.67,249.59303,1625.415,131.89,-14.952,424.842,0.5236909,0.017082406,0.02369241,-0.0875711307320818,1.702138911713521,1.894161293956463,2011,10
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-11-30,2011-11-30,2011m11,-0.0654,3.34,227.1534,1625.415,131.89,-14.952,424.842,0.5236909,0.017082406,0.02369241,-0.0875711307320818,1.8702868989799128,1.8910664216210324,2011,11
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2011-12-30,2011-12-30,2011m12,0.2904,4.31,293.1231,1625.415,131.89,-14.952,424.842,0.5236909,0.017082406,0.02369241,-0.0875711307320818,1.4493638320695388,1.890184219528642,2011,12
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2012-01-31,2012-01-31,2012m1,0.1578,4.99,339.36987,1558.867,134.275,-16.307,348.441,0.48579,0.016303508,0.027471233,-0.0875711307320818,1.0267293451473392,1.8876355782867733,2012,1
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2012-02-29,2012-02-29,2012m2,-0.0361,4.76,323.72763,1558.867,134.275,-16.307,348.441,0.48579,0.016303508,0.027471233,-0.0875711307320818,1.076340054456225,1.874050633779981,2012,2
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2012-03-30,2012-03-30,2012m3,0.0756,5.12,354.89792,1558.867,134.275,-16.307,348.441,0.48579,0.016303508,0.027471233,-0.0875711307320818,0.9818063263667808,1.876161596861382,2012,3
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2012-04-30,2012-04-30,2012m4,0.0195,5.22,361.76166,1512.163,137.433,-25.036,333.843,0.49951228,0.017707746,0.025953552,-0.0875711307320818,0.9228257924493294,1.87909156060125,2012,4
10952,UNII,UNI INVEST U S LTD,2.0,9.0,17.0,2012-05-31,2012-05-31,2012m5,-0.0709,4.8,332.65442,1512.163,137.433,-25.036,333.843,0.49951228,0.017707746,0.025953552,-0.0875711307320818,1.003573020042405,1.867282580662952,2012,5
